"","Site","Haul_number","Species","count"
"1","Bechers",1,"Amphistichus_argenteus",11
"2","Bechers",1,"Engraulis_mordax",1
"3","Bechers",1,"Leuresthes_tenuis",19
"4","Bechers",2,"Amphistichus_argenteus",32
"5","Bechers",2,"Atractoscion_nobilis",1
"6","Bechers",2,"Leuresthes_tenuis",2
"7","Bechers",2,"Micrometrus_minimus",2
"8","Bechers",3,"Amphistichus_argenteus",13
"9","Bechers",3,"Atherinops_affinis",15
"10","Bechers",3,"Engraulis_mordax",1
"11","Bechers",3,"Leuresthes_tenuis",1
"12","Bechers",4,"Amphistichus_argenteus",12
"13","Ben_Weston",1,"Menticirrhus_undulatus",1
"14","Ben_Weston",2,"Amphistichus_argenteus",2
"15","Ben_Weston",2,"Menticirrhus_undulatus",3
"16","Ben_Weston",3,"Amphistichus_argenteus",1
"17","Ben_Weston",4,"Amphistichus_argenteus",1
"18","Ben_Weston",4,"Menticirrhus_undulatus",1
"19","China_Camp",1,"Amphistichus_argenteus",7
"20","China_Camp",2,"Amphistichus_argenteus",7
"21","China_Camp",3,"Amphistichus_argenteus",3
"22","China_Camp",4,"Amphistichus_argenteus",3
"23","Christy",1,"Amphistichus_argenteus",46
"24","Christy",1,"Atherinops_affinis",24
"25","Christy",2,"Amphistichus_argenteus",27
"26","Christy",2,"Atherinops_affinis",4
"27","Christy",2,"Atractoscion_nobilis",1
"28","Christy",2,"Heterostichus_rostratus",1
"29","Christy",2,"Hyperprosopon_argenteum",191
"30","Christy",2,"Micrometrus_minimus",7
"31","Christy",3,"Amphistichus_argenteus",7
"32","Christy",3,"Heterostichus_rostratus",1
"33","Christy",3,"Micrometrus_minimus",4
"34","Christy",4,"Amphistichus_argenteus",12
"35","Coches",1,"Amphistichus_argenteus",6
"36","Coches",1,"Atherinops_affinis",8
"37","Coches",1,"Hyperprosopon_argenteum",21
"38","Coches",2,"Atherinops_affinis",12
"39","Coches",2,"Hyperprosopon_argenteum",3
"40","Coches",3,"Atherinops_affinis",6
"41","Coches",3,"Hyperprosopon_argenteum",4
"42","Coches",4,"Amphistichus_argenteus",2
"43","Coches",4,"Atherinops_affinis",8
"44","Coches",4,"Hyperprosopon_argenteum",15
"45","Coches",4,"Leuresthes_tenuis",1
"46","Cuylers_Harbor",2,"Atherinops_affinis",2
"47","Cuylers_Harbor",3,"Atherinops_affinis",1
"48","Cuylers_Harbor",4,"Amphistichus_argenteus",8
"49","Cuylers_Harbor",4,"Engraulis_mordax",1
"50","Cuylers_Harbor",4,"Sardinops_sagax",7
"51","Dangermond",1,"Amphistichus_argenteus",3
"52","Dangermond",4,"Amphistichus_argenteus",5
"53","Emerald_Bay",1,"Paralichthys_californicus",1
"54","Emerald_Bay",2,"Atherinops_affinis",5
"55","Emerald_Bay",2,"Paralichthys_californicus",1
"56","Emerald_Bay",3,"Seriphus_politus",14
"57","Emerald_Bay",3,"Umbrina_roncador",27
"58","Emerald_Bay",4,"Atherinops_affinis",2
"59","Emerald_Bay",4,"Cymatogaster_aggregata",2
"60","Emerald_Bay",4,"Seriphus_politus",32
"61","Emerald_Bay",4,"Umbrina_roncador",71
"62","Ford_Pt",1,"Atherinops_affinis",1
"63","Ford_Pt",2,"Amphistichus_argenteus",2
"64","Ford_Pt",2,"Atherinops_affinis",3
"65","Ford_Pt",3,"Atherinops_affinis",3
"66","Ford_Pt",4,"Amphistichus_argenteus",3
"67","Forney",1,"Amphistichus_argenteus",35
"68","Forney",3,"Amphistichus_argenteus",12
"69","Forney",3,"Micrometrus_minimus",15
"70","Forney",4,"Amphistichus_argenteus",14
"71","Forney",4,"Micrometrus_minimus",3
"72","Little_Harbor",1,"Anisotremus_davidsonii",2
"73","Little_Harbor",1,"Atherinops_affinis",15
"74","Little_Harbor",1,"Brachygenys_californiensis",2
"75","Little_Harbor",1,"Embiotoca_jacksoni",1
"76","Little_Harbor",1,"Halichoeres_semicinctus",5
"77","Little_Harbor",1,"Heterostichus_rostratus",1
"78","Little_Harbor",1,"Hyperprosopon_argenteum",10
"79","Little_Harbor",2,"Anisotremus_davidsonii",9
"80","Little_Harbor",2,"Atherinops_affinis",13
"81","Little_Harbor",2,"Brachygenys_californiensis",44
"82","Little_Harbor",2,"Heterostichus_rostratus",7
"83","Little_Harbor",2,"Hyperprosopon_argenteum",8
"84","Little_Harbor",3,"Anisotremus_davidsonii",4
"85","Little_Harbor",3,"Atherinops_affinis",31
"86","Little_Harbor",3,"Hyperprosopon_argenteum",8
"87","Little_Harbor",3,"Micrometrus_minimus",1
"88","Little_Harbor",4,"Atherinops_affinis",36
"89","Little_Harbor",4,"Embiotoca_jacksoni",1
"90","Little_Harbor",4,"Hyperprosopon_argenteum",1
"91","R_Beach",1,"Amphistichus_argenteus",4
"92","R_Beach",1,"Atherinops_affinis",1
"93","R_Beach",1,"Triakis_semifasciata",1
"94","R_Beach",2,"Amphistichus_argenteus",1
"95","R_Beach",2,"Menticirrhus_undulatus",5
"96","R_Beach",3,"Amphistichus_argenteus",1
"97","R_Beach",3,"Menticirrhus_undulatus",1
"98","R_Beach",4,"Amphistichus_argenteus",4
"99","R_Beach",4,"Menticirrhus_undulatus",5
"100","R_Beach",4,"Triakis_semifasciata",2
"101","Sandy_Point",2,"Amphistichus_argenteus",4
"102","Sandy_Point",3,"Amphistichus_argenteus",1
"103","Sandy_Point",3,"Hyperprosopon_ellipticum",1
"104","Sandy_Point",4,"Amphistichus_argenteus",9
"105","Sandy_Point",4,"Hyperprosopon_ellipticum",1
"106","Santa_Claus",1,"Amphistichus_argenteus",1
"107","Santa_Claus",1,"Atherinops_affinis",1
"108","Santa_Claus",1,"Menticirrhus_undulatus",3
"109","Santa_Claus",1,"Triakis_semifasciata",1
"110","Santa_Claus",1,"Umbrina_roncador",6
"111","Santa_Claus",2,"Amphistichus_argenteus",9
"112","Santa_Claus",3,"Amphistichus_argenteus",6
"113","Santa_Claus",3,"Atherinops_affinis",1
"114","Santa_Claus",3,"Menticirrhus_undulatus",4
"115","Santa_Claus",3,"Umbrina_roncador",1
"116","Santa_Claus",4,"Amphistichus_argenteus",3
"117","Santa_Claus",4,"Atherinops_affinis",2
"118","Santa_Claus",4,"Menticirrhus_undulatus",3
"119","Santa_Claus",4,"Myliobatis_californica",1
"120","Santa_Monica",1,"Embiotoca_jacksoni",1
"121","Santa_Monica",1,"Menticirrhus_undulatus",13
"122","Santa_Monica",1,"Syngnathus_californiensis",1
"123","Santa_Monica",2,"Atherinops_affinis",10
"124","Santa_Monica",2,"Menticirrhus_undulatus",6
"125","Santa_Monica",2,"Triakis_semifasciata",1
"126","Santa_Monica",3,"Amphistichus_argenteus",1
"127","Santa_Monica",3,"Atherinops_affinis",1
"128","Santa_Monica",3,"Menticirrhus_undulatus",41
"129","Santa_Monica",3,"Micrometrus_minimus",1
"130","Santa_Monica",3,"Syngnathus_californiensis",2
"131","Santa_Monica",3,"Urobatis_halleri",1
"132","Santa_Monica",4,"Amphistichus_argenteus",1
"133","Santa_Monica",4,"Atherinops_affinis",2
"134","Santa_Monica",4,"Menticirrhus_undulatus",7
"135","Santa_Monica",4,"Umbrina_roncador",1
"136","Soledad",1,"Amphistichus_argenteus",41
"137","Soledad",2,"Amphistichus_argenteus",3
"138","Soledad",3,"Amphistichus_argenteus",31
"139","Soledad",4,"Amphistichus_argenteus",3
"140","Southeast_Anchorage",1,"Amphistichus_argenteus",2
"141","Southeast_Anchorage",2,"Amphistichus_argenteus",3
"142","Southeast_Anchorage",2,"Leuresthes_tenuis",1
"143","Southeast_Anchorage",3,"Amphistichus_argenteus",1
"144","Southeast_Anchorage",3,"Leuresthes_tenuis",1
"145","Water_Canyon",1,"Amphistichus_argenteus",4
"146","Water_Canyon",2,"Amphistichus_argenteus",23
"147","Water_Canyon",2,"Atherinops_affinis",2
"148","Water_Canyon",2,"Engraulis_mordax",2
"149","Water_Canyon",2,"Leuresthes_tenuis",11
"150","Water_Canyon",2,"Syngnathus_californiensis",1
"151","Water_Canyon",3,"Amphistichus_argenteus",17
"152","Water_Canyon",3,"Micrometrus_minimus",1
"153","Water_Canyon",4,"Amphistichus_argenteus",10
"154","Water_Canyon",4,"Atherinops_affinis",3
"155","Water_Canyon",4,"Citharichthys_stigmaeus",1
"156","Water_Canyon",4,"Leuresthes_tenuis",2
"157","Water_Canyon",4,"Syngnathus_californiensis",1
