"","Species","r.squared","term","estimate","std.error","statistic","p.value"
"1","Atherinops affinis",0.206169834036853,"(Intercept)",0.265705062338012,0.0554435058220888,4.79235680352945,0.000199410722638451
"2","Atherinops affinis",0.206169834036853,"mean_bruv_MaxN",0.00482124413424955,0.00236510469738755,2.03849078629585,0.0583806398036737
"3","Citharichthys stigmaeus",0.0379889546739875,"(Intercept)",0.0407656815009025,0.0243728901883297,1.67258298814402,0.113846412272829
"4","Citharichthys stigmaeus",0.0379889546739875,"mean_bruv_MaxN",0.00577325839072834,0.0072631056514951,0.794874626330118,0.438319127717578
"5","Girella nigricans",0.027025008865503,"(Intercept)",0.0963092062741137,0.0359962608926816,2.6755336217072,0.0165816738941487
"6","Girella nigricans",0.027025008865503,"mean_bruv_MaxN",0.0169681489597941,0.0254532001745753,0.666641084162896,0.514500332140405
"7","Myliobatis californica",0.000521892822898799,"(Intercept)",0.0756231828904297,0.0322340784818088,2.34606312487287,0.0321853843970072
"8","Myliobatis californica",0.000521892822898799,"mean_bruv_MaxN",0.00186803175196274,0.0204371457973916,0.091403749353354,0.928306369382095
"9","Paralabrax clathratus",0.327845302026601,"(Intercept)",0.0497665171554262,0.0243908897804175,2.04037317225638,0.0581732205169642
"10","Paralabrax clathratus",0.327845302026601,"mean_bruv_MaxN",0.0423933048591314,0.0151753046962721,2.79357190564651,0.0130127413108224
"11","Platyrhinoidis triseriata",0.0469614371548417,"(Intercept)",0.0298897585203913,0.0146628991240287,2.03846171671533,0.0583838482354664
"12","Platyrhinoidis triseriata",0.0469614371548417,"mean_bruv_MaxN",0.0318912040209314,0.0359166210037727,0.88792328258222,0.387735490162703
"13","Pseudobatos productus",0.412337131081464,"(Intercept)",0.00787473418515796,0.0152019312927937,0.518008799901028,0.611540793122864
"14","Pseudobatos productus",0.412337131081464,"mean_bruv_MaxN",0.0864404656068754,0.0257985328902394,3.35059617438863,0.00406217978262505
"15","Surfperch",0.00382682581521433,"(Intercept)",0.193624334071307,0.0464961087017151,4.16431265922615,0.000731093226295449
"16","Surfperch",0.00382682581521433,"mean_bruv_MaxN",-0.000909278278136316,0.00366762478320242,-0.247920202279354,0.807349814997088
"17","Triakis semifasciata",0.00743326083909626,"(Intercept)",0.0624974345950073,0.04417733491223,1.41469454232979,0.176324409540884
"18","Triakis semifasciata",0.00743326083909626,"mean_bruv_MaxN",0.013289639198511,0.0383922329115181,0.346154370055511,0.733736692344659
"19","Umbrina roncador",0.0855819649511899,"(Intercept)",0.0342567752100183,0.0404786977402174,0.846291435309259,0.409869511044214
"20","Umbrina roncador",0.0855819649511899,"mean_bruv_MaxN",0.0381926253546766,0.0312105043044429,1.22371061300793,0.238777318295066
"21","Urobatis halleri",0.936230698052236,"(Intercept)",-0.000972949333305387,0.00281667962507125,-0.345424209642151,0.734275076580346
"22","Urobatis halleri",0.936230698052236,"mean_bruv_MaxN",0.0546738769499628,0.00356725596328555,15.3265920675921,5.52930533282715e-11
